Group,Conc,time
Syt-1,100,1.833333333
Syt-1,100,1.833333333
Syt-1,100,1.833333333
Syt-1,100,1.833333333
Syt-1,100,1.833333333
Syt-1,100,1.833333333
Syt-1,100,2
Syt-1,100,2
Syt-1,100,2
Syt-1,100,2
Syt-1,100,2.166666667
Syt-1,100,2.166666667
Syt-1,100,2.166666667
Syt-1,100,2.333333333
Syt-1,100,2.333333333
Syt-1,100,2.333333333
Syt-1,100,2.333333333
Syt-1,100,2.333333333
Syt-1,100,2.5
Syt-1,100,2.5
Syt-1,100,2.5
Syt-1,100,2.833333333
Syt-1,100,2.833333333
Syt-1,100,2.833333333
Syt-1,100,3.333333333
Syt-1,100,3.333333333
Syt-1,100,3.333333333
Syt-1,100,3.666666667
Syt-1,100,3.666666667
Syt-1,100,3.666666667
Syt-1,100,3.666666667
Syt-1,100,4
Syt-1,100,4
Syt-1,100,4
Syt-1,100,4.166666667
Syt-1,100,4.166666667
Syt-1,100,4.166666667
Syt-1,100,4.333333333
Syt-1,100,4.333333333
Syt-1,100,4.333333333
Syt-1,100,4.333333333
Syt-1,100,4.5
Syt-1,100,4.5
Syt-1,100,4.5
Syt-1,100,4.666666667
Syt-1,100,4.666666667
Syt-1,100,5
Syt-1,100,5
Syt-1,100,5.166666667
Syt-1,100,5.166666667
Syt-1,100,5.166666667
Syt-1,100,5.333333333
Syt-1,100,6.333333333
Syt-1,100,6.166666667
Syt-1,100,6.166666667
Syt-1,100,6.166666667
Syt-1,100,6.166666667
Syt-1,100,6.666666667
Syt-1,100,6.833333333
Syt-1,100,6.833333333
Syt-1,100,7.166666667
Syt-1,100,7.166666667
Syt-1,100,7.5
Syt-1,100,8
Syt-1,100,8
Syt-1,100,8
Syt-1,100,9.166666667
Syt-1,100,9.5
Syt-1,100,9.833333333
Syt-1,100,10.83333333
Syt-1,100,13
Syt-1,100,24
Syt-1,100,28
Syt-1,100,28.66666667
Syt-1,100,3.166666667
Syt-1,100,0.5
Syt-1,100,1.333333333
Syt-1,100,9.333333333
Syt-1,100,1.333333333
Syt-1,100,0.833333333
Syt-1,100,2.5
Syt-1,100,1.166666667
Syt-1,100,2.666666667
Syt-1,100,2.833333333
Syt-1,100,4.833333333
Syt-1,100,4.333333333
Syt-1,100,4.333333333
