Group,Conc,Latency
Syt-1,1,16.66667
Syt-1,1,35.83333
Syt-1,1,11
Syt-1,1,25.5
Syt-1,1,33
Syt-1,1,42
Syt-1,1,32.66667
Syt-1,1,33
Syt-1,1,33.33333
Syt-1,1,38.66667
Syt-1,1,40.16667
Syt-1,1,4.833333
Syt-1,1,6.666667
Syt-1,1,8
Syt-1,1,13.33333
Syt-1,1,14.66667
Syt-1,1,36.66667
Syt-1,5,12.83333
Syt-1,5,11
Syt-1,5,14
Syt-1,5,14
Syt-1,5,17.83333
Syt-1,5,13.33333
Syt-1,5,11.16667
Syt-1,5,11.16667
Syt-1,5,14.5
Syt-1,5,14.5
Syt-1,5,18.33333
Syt-1,5,13.66667
Syt-1,5,11.5
Syt-1,5,11.5
Syt-1,5,15
Syt-1,5,18.5
Syt-1,5,18.5
Syt-1,5,14.66667
Syt-1,5,15.16667
Syt-1,5,15.16667
Syt-1,5,15.5
Syt-1,5,18.83333
Syt-1,5,18.83333
Syt-1,5,15.83333
Syt-1,5,18.66667
Syt-1,5,16.16667
Syt-1,5,21
Syt-1,5,15.83333
Syt-1,5,19.16667
Syt-1,5,16.5
Syt-1,5,38.5
Syt-1,5,16.33333
Syt-1,5,21.16667
Syt-1,5,17
Syt-1,5,22.5
Syt-1,5,17
Syt-1,5,21.83333
Syt-1,5,18
Syt-1,5,26.83333
Syt-1,5,17.5
Syt-1,5,15.5
Syt-1,5,18.5
Syt-1,5,19.66667
Syt-1,5,18
Syt-1,5,16.33333
Syt-1,5,19.83333
Syt-1,5,19.83333
Syt-1,5,19.83333
Syt-1,5,13.66667
Syt-1,5,17.5
Syt-1,5,20.66667
Syt-1,5,17
Syt-1,5,18
Syt-1,5,18.33333
Syt-1,5,17.83333
Syt-1,5,21.5
Syt-1,5,21.5
Syt-1,5,17
Syt-1,5,7.5
Syt-1,5,21.66667
Syt-1,5,21.66667
Syt-1,5,18.5
Syt-1,5,18.83333
Syt-1,5,19.83333
Syt-1,5,20.83333
Syt-1,5,22.16667
Syt-1,5,8.333333
Syt-1,5,8.333333
Syt-1,5,16.33333
Syt-1,5,23
Syt-1,5,23
Syt-1,5,13.33333
Syt-1,5,20.16667
Syt-1,5,23
Syt-1,5,12.66667
Syt-1,5,23.33333
Syt-1,5,17.33333
Syt-1,5,23
Syt-1,5,24.5
Syt-1,5,24.5
Syt-1,5,12.83333
Syt-1,5,12.83333
Syt-1,5,24.16667
Syt-1,5,25.66667
Syt-1,5,13.16667
Syt-1,5,13.16667
Syt-1,5,10.5
Syt-1,5,11.33333
Syt-1,5,11.33333
Syt-1,5,19.66667
Syt-1,5,11.5
Syt-1,5,13.5
Syt-1,5,13.5
Syt-1,5,28
Syt-1,5,32.66667
Syt-1,5,13.66667
Syt-1,5,12.33333
Syt-1,5,20
Syt-1,5,17
Syt-1,5,17
Syt-1,5,15.5
Syt-1,5,14.16667
Syt-1,5,15
Syt-1,5,15.16667
Syt-1,5,14.5
Syt-1,5,16.33333
Syt-1,5,17.83333
Syt-1,5,18.5
Syt-1,5,20.83333
Syt-1,5,8.333333
Syt-1,5,12.16667
Syt-1,5,12.16667
Syt-1,5,13
Syt-1,5,13
Syt-1,5,18.16667
Syt-1,5,11.5
Syt-1,5,21.66667
Syt-1,5,19
Syt-1,5,19
Syt-1,5,16.83333
Syt-1,5,16.83333
Syt-1,5,15
Syt-1,5,15
Syt-1,5,14.66667
Syt-1,5,14.66667
Syt-1,5,14.33333
Syt-1,5,14.33333
Syt-1,5,14.33333
Syt-1,5,19.16667
Syt-1,5,19.83333
Syt-1,5,19.16667
Syt-1,5,18.5
Syt-1,5,18.5
Syt-1,5,18
Syt-1,5,17.33333
Syt-1,5,22
Syt-1,5,21.33333
Syt-1,5,21.33333
Syt-1,5,21.16667
Syt-1,5,19.83333
Syt-1,5,20.66667
Syt-1,5,22.16667
Syt-1,5,13.16667
Syt-1,5,13
Syt-1,5,13
Syt-1,5,22.66667
Syt-1,5,22.66667
Syt-1,5,22.33333
Syt-1,5,15.33333
Syt-1,5,14.5
Syt-1,5,14
Syt-1,5,14
Syt-1,5,13.66667
Syt-1,5,22.83333
Syt-1,5,24
Syt-1,5,18.83333
Syt-1,5,18.16667
Syt-1,5,17
Syt-1,5,16
Syt-1,5,16
Syt-1,5,22
Syt-1,5,21.66667
Syt-1,5,21
Syt-1,5,19.66667
Syt-1,5,15
Syt-1,5,24.66667
Syt-1,5,23.33333
Syt-1,5,22.66667
Syt-1,5,21.33333
Syt-1,5,19.5
Syt-1,5,18
Syt-1,5,15.33333
Syt-1,5,16.5
Syt-1,5,18.33333
Syt-1,5,20
Syt-1,5,21.83333
Syt-1,5,22.33333
Syt-1,5,20.83333
Syt-1,5,18.66667
Syt-1,5,18.66667
Syt-1,5,18.66667
Syt-1,5,17.33333
Syt-1,5,15.16667
Syt-1,5,15.16667
Syt-1,5,14.66667
Syt-1,5,14.16667
Syt-1,5,25.33333
Syt-1,5,16.83333
Syt-1,5,16.66667
Syt-1,5,16.16667
Syt-1,5,15.66667
Syt-1,10,10.33333
Syt-1,10,12.33333
Syt-1,10,12.5
Syt-1,10,12.5
Syt-1,10,12.5
Syt-1,10,12.5
Syt-1,10,12.5
Syt-1,10,12.5
Syt-1,10,12.66667
Syt-1,10,13
Syt-1,10,12.83333
Syt-1,10,14.16667
Syt-1,10,14.33333
Syt-1,10,14.5
Syt-1,10,14.5
Syt-1,10,15.5
Syt-1,10,16.16667
Syt-1,10,16.66667
Syt-1,10,16.66667
Syt-1,10,18.33333
Syt-1,10,19.66667
Syt-1,10,21.33333
Syt-1,10,23.16667
Syt-1,10,41.66667
Syt-1,10,10.5
Syt-1,10,11.33333
Syt-1,10,11.66667
Syt-1,10,11.66667
Syt-1,10,11.83333
Syt-1,10,12.33333
Syt-1,10,12.66667
Syt-1,10,12.83333
Syt-1,10,13.33333
Syt-1,10,13.66667
Syt-1,10,15.83333
Syt-1,10,16.16667
Syt-1,10,16.83333
Syt-1,10,18.16667
Syt-1,10,18.33333
Syt-1,10,18.66667
Syt-1,10,18.83333
Syt-1,10,19
Syt-1,10,19.16667
Syt-1,10,19.16667
Syt-1,10,19.66667
Syt-1,10,19.83333
Syt-1,10,21
Syt-1,10,21.33333
Syt-1,10,22.5
Syt-1,10,22.83333
Syt-1,10,24.5
Syt-1,10,24.83333
Syt-1,10,28
Syt-1,10,28
Syt-1,10,28
Syt-1,10,28.33333
Syt-1,10,28.5
Syt-1,10,28.5
Syt-1,10,28.83333
Syt-1,10,28.83333
Syt-1,10,31
Syt-1,10,48.5
Syt-1,10,32.5
Syt-1,10,36.83333
Syt-1,10,12.83333
Syt-1,10,13.16667
Syt-1,10,13.16667
Syt-1,10,13.16667
Syt-1,10,13.16667
Syt-1,10,13.16667
Syt-1,10,13.33333
Syt-1,10,13.33333
Syt-1,10,13.33333
Syt-1,10,13.5
